Artist Name,Frequency
Harris Jayaraj,76
Oasis,70
Bleachers,69
Anirudh Ravichander,55
A.R. Rahman,45
Billy Joel,33
The 1975,32
G. V. Prakash,22
Olivia Rodrigo,19
Radiohead,16
Lorde,16
Yuvan Shankar Raja,15
The Police,11
Santhosh Narayanan,11
Dhibu Ninan Thomas,10
The Neighbourhood,9
Charli xcx,9
Karthik,8
The Killers,7
Taylor Swift,7
TOTO,7
Don McLean,7
Coldplay,7
sombr,6
The Smiths,6
Sufjan Stevens,5
Phoebe Bridgers,5
Carly Simon,5
Tame Impala,4
One Direction,4
Ilaiyaraaja,4
Hozier,4
Darbuka Siva,4
D. Imman,4
Wheatus,3
The Fray,3
Srinivas,3
Sam C.S.,3
Niall Horan,3
MGMT,3
Hiphop Tamizha,3
Green Day,3
Gopi Sundar,3
Cristin Milioti,3
U2,2
The Strokes,2
The Beatles,2
Shankar-Ehsaan-Loy,2
Shabir Sulthan,2
S.P. Charan,2
Red Hot Chili Peppers,2
Joshua Sridhar,2
John Newman,2
Fitz and The Tantrums,2
Djo,2
Cage The Elephant,2
Arctic Monkeys,2
ABBA,2
Wham!,1
Vijay,1
Vidyasagar,1
Tippu,1
Timmy,1
The Weeknd,1
The Verve,1
The Stone Roses,1
The Ronettes,1
The Rolling Stones,1
The Mamas & The Papas,1
The Lumineers,1
The La's,1
The Cure,1
TV Girl,1
Surf Curse,1
Stealth,1
Sid Sriram,1
Sam Fender,1
Ryan Gosling,1
Rachel Zegler,1
Priya Hemesh,1
Phillip Phillips,1
Passenger,1
Noel Gallagher's High Flying Birds,1
Naresh Iyer,1
N.R. Raghunanthan,1
Lucifer Cast,1
Louis Tomlinson,1
Lana Del Rey,1
Kygo,1
Krishh,1
Kate Bush,1
K. S. Chithra,1
K. Krishna Kumar,1
Journey,1
John Lennon,1
James Arthur,1
Hypnotic Brass Ensemble,1
Gracie Abrams,1
Gotye,1
Glass Animals,1
Ghibran,1
Eyedress,1
Dhanush,1
David Bowie,1
Charlie Puth,1
BÃ˜RNS,1
Bombay Jayashri,1
Avicii,1
Andrea Jeremiah,1
Alex G,1
Adele,1
Aalaap Raju,1
